
CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-03-28T15:02:03.79-04:00,2023-03-28T15:02:03.79-04:00,INSERT,VIEW,HR_EMP_JOB_EVENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:02:03.791-04:00,2023-03-28T15:02:03.791-04:00,SELECT,VIEW,HR_EMP_JOB_EVENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.268-04:00,2023-03-28T13:57:14.268-04:00,SELECT,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.266-04:00,2023-03-28T13:57:14.266-04:00,REBUILD,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.268-04:00,2023-03-28T13:57:14.268-04:00,SELECT,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.23-04:00,2023-03-28T13:57:14.23-04:00,OWNERSHIP,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,TRUE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.269-04:00,2023-03-28T13:57:14.269-04:00,UPDATE,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.269-04:00,2023-03-28T13:57:14.269-04:00,TRUNCATE,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.267-04:00,2023-03-28T13:57:14.267-04:00,SELECT,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERDI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.259-04:00,2023-03-28T13:57:14.259-04:00,DELETE,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.264-04:00,2023-03-28T13:57:14.264-04:00,INSERT,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.267-04:00,2023-03-28T13:57:14.267-04:00,SELECT,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:57:14.265-04:00,2023-03-28T13:57:14.265-04:00,REFERENCES,VIEW,HR_DEPARTMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.126-04:00,2023-03-28T13:47:05.126-04:00,SELECT,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.117-04:00,2023-03-28T13:47:05.117-04:00,REFERENCES,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.115-04:00,2023-03-28T13:47:05.115-04:00,INSERT,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.13-04:00,2023-03-28T13:47:05.13-04:00,UPDATE,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.107-04:00,2023-03-28T13:47:05.107-04:00,DELETE,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.121-04:00,2023-03-28T13:47:05.121-04:00,SELECT,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.128-04:00,2023-03-28T13:47:05.128-04:00,TRUNCATE,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
